% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.561214	1	1	1	7.16165e-15	23.9289	0
0.562214	1	1	1	7.15779e-15	23.9159	0
0.563214	1	1	1	7.15393e-15	23.9031	0
0.564214	1	1	1	7.15007e-15	23.8902	0
0.565214	1	1	1	7.14622e-15	23.8773	0
0.566214	1	1	1	7.14236e-15	23.8644	0
0.567214	1	1	1	7.13851e-15	23.8515	0
0.568214	1	1	1	7.13467e-15	23.8387	0
0.569214	1	1	1	7.13082e-15	23.8258	0
0.570214	1	1	1	7.12698e-15	23.813	0
0.571214	1	1	1	7.12314e-15	23.8002	0
0.572214	1	1	1	7.1193e-15	23.7874	0
0.573214	1	1	1	7.11547e-15	23.7745	0
0.574214	1	1	1	7.11164e-15	23.7617	0
0.575214	1	1	1	7.10781e-15	23.7489	0
0.576214	1	1	1	7.10398e-15	23.7362	0
0.577214	1	1	1	7.10016e-15	23.7234	0
0.578214	1	1	1	7.09633e-15	23.7106	0
0.579214	1	1	1	7.09252e-15	23.6979	0
0.580214	1	1	1	7.0887e-15	23.6851	0
0.581214	1	1	1	7.08489e-15	23.6724	0
0.582214	1	1	1	7.08107e-15	23.6596	0
0.583214	1	1	1	7.07727e-15	23.6469	0
0.584214	1	1	1	7.07346e-15	23.6342	0
0.585214	1	1	1	7.06966e-15	23.6215	0
0.586214	1	1	1	7.06586e-15	23.6088	0
0.587214	1	1	1	7.06206e-15	23.5961	0
0.588214	1	1	1	7.05826e-15	23.5834	0
0.589214	1	1	1	7.05447e-15	23.5707	0
0.590214	1	1	1	7.05068e-15	23.5581	0
0.591214	1	1	1	7.04689e-15	23.5454	0
0.592214	1	1	1	7.0431e-15	23.5328	0
0.593214	1	1	1	7.03932e-15	23.5201	0
0.594214	1	1	1	7.03554e-15	23.5075	0
0.595214	1	1	1	7.03176e-15	23.4949	0
0.596214	1	1	1	7.02799e-15	23.4823	0
0.597214	1	1	1	7.02422e-15	23.4696	0
0.598214	1	1	1	7.02045e-15	23.4571	0
0.599214	1	1	1	7.01668e-15	23.4445	0
0.600214	1	1	1	7.01291e-15	23.4319	0
0.601214	1	1	1	7.00915e-15	23.4193	0
0.602214	1	1	1	7.00539e-15	23.4067	0
0.603214	1	1	1	7.00163e-15	23.3942	0
0.604214	1	1	1	6.99788e-15	23.3816	0
0.605214	1	1	1	6.99413e-15	23.3691	0
0.606214	1	1	1	6.99038e-15	23.3566	0
0.607214	1	1	1	6.98663e-15	23.3441	0
0.608214	1	1	1	6.98288e-15	23.3315	0
0.609214	1	1	1	6.97914e-15	23.319	0
0.610214	1	1	1	6.9754e-15	23.3065	0
0.611214	1	1	1	6.97166e-15	23.2941	0
0.612214	1	1	1	6.96793e-15	23.2816	0
0.613214	1	1	1	6.9642e-15	23.2691	0
0.614214	1	1	1	6.96047e-15	23.2566	0
0.615214	1	1	1	6.95674e-15	23.2442	0
0.616214	1	1	1	6.95301e-15	23.2317	0
0.617214	1	1	1	6.94929e-15	23.2193	0
0.618214	1	1	1	6.94557e-15	23.2069	0
0.619214	1	1	1	6.94186e-15	23.1945	0
0.620214	1	1	1	6.93814e-15	23.1821	0
0.621214	1	1	1	6.93443e-15	23.1696	0
0.622214	1	1	1	6.93072e-15	23.1573	0
0.623214	1	1	1	6.92701e-15	23.1449	0
0.624214	1	1	1	6.92331e-15	23.1325	0
0.625214	1	1	1	6.91961e-15	23.1201	0
0.626214	1	1	1	6.91591e-15	23.1078	0
0.627214	1	1	1	6.91221e-15	23.0954	0
0.628214	1	1	1	6.90851e-15	23.0831	0
0.629214	1	1	1	6.90482e-15	23.0707	0
0.630214	1	1	1	6.90113e-15	23.0584	0
0.631214	1	1	1	6.89744e-15	23.0461	0
0.632214	1	1	1	6.89376e-15	23.0338	0
0.633214	1	1	1	6.89008e-15	23.0215	0
0.634214	1	1	1	6.8864e-15	23.0092	0
0.635214	1	1	1	6.88272e-15	22.9969	0
0.636214	1	1	1	6.87904e-15	22.9846	0
0.637214	1	1	1	6.87537e-15	22.9723	0
0.638214	1	1	1	6.8717e-15	22.9601	0
0.639214	1	1	1	6.86803e-15	22.9478	0
0.640214	1	1	1	6.86437e-15	22.9356	0
0.641214	1	1	1	6.86071e-15	22.9233	0
0.642214	1	1	1	6.85705e-15	22.9111	0
0.643214	1	1	1	6.85339e-15	22.8989	0
0.644214	1	1	1	6.84973e-15	22.8867	0
0.645214	1	1	1	6.84608e-15	22.8745	0
0.646214	1	1	1	6.84243e-15	22.8623	0
0.647214	1	1	1	6.83878e-15	22.8501	0
0.648214	1	1	1	6.83514e-15	22.8379	0
0.649214	1	1	1	6.83149e-15	22.8257	0
0.650214	1	1	1	6.82785e-15	22.8135	0
0.651214	1	1	1	6.82421e-15	22.8014	0
0.652214	1	1	1	6.82058e-15	22.7892	0
0.653214	1	1	1	6.81694e-15	22.7771	0
0.654214	1	1	1	6.81331e-15	22.765	0
0.655214	1	1	1	6.80969e-15	22.7528	0
0.656214	1	1	1	6.80606e-15	22.7407	0
0.657214	1	1	1	6.80244e-15	22.7286	0
0.658214	1	1	1	6.79881e-15	22.7165	0
0.659214	1	1	1	6.7952e-15	22.7044	0
0.660214	1	1	1	6.79158e-15	22.6924	0
0.661214	1	1	1	6.78797e-15	22.6803	0
0.662214	1	1	1	6.78435e-15	22.6682	0
0.663214	1	1	1	6.78074e-15	22.6562	0
0.664214	1	1	1	6.77714e-15	22.6441	0
0.665214	1	1	1	6.77353e-15	22.6321	0
0.666214	1	1	1	6.76993e-15	22.62	0
0.667214	1	1	1	6.76633e-15	22.608	0
0.668214	1	1	1	6.76273e-15	22.596	0
0.669214	1	1	1	6.75914e-15	22.584	0
0.670214	1	1	1	6.75555e-15	22.572	0
0.671214	1	1	1	6.75196e-15	22.56	0
0.672214	1	1	1	6.74837e-15	22.548	0
0.673214	1	1	1	6.74479e-15	22.536	0
0.674214	1	1	1	6.7412e-15	22.524	0
0.675214	1	1	1	6.73762e-15	22.5121	0
0.676214	1	1	1	6.73404e-15	22.5001	0
0.677214	1	1	1	6.73047e-15	22.4882	0
